,Charging Power (kW)
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.45157902234038977
1583,0.6021053631205197
1584,0.8429475083687274
1585,0.9700586405830594
1586,1.0737545642315933
1587,1.1339651005436453
1588,1.1440001899289873
1589,0.9031580446807795
1590,0.7526317039006495
1591,0.5418948268084677
1592,0.4214737541843637
1593,0.3010526815602598
1594,0.21073687709218186
1595,0.12042107262410393
1596,0.07827369720566754
1597,0.06021053631205196
1598,0.01806316089361559
1599,0.01505263407801299
1600,0.006021053631205197
1601,0.0030105268156025984
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.45157902234038977
1631,0.6021053631205197
1632,0.8429475083687274
1633,0.9700586405830594
1634,1.0737545642315933
1635,1.1339651005436453
